id,trigger,conditions,script,text,options,notes
pfsoeMeetCaspian4maybe,DialogOptionSelected,"$option == pfsoe_meetCaspianMaybe","$option = pfsoe_meetCaspian5
FireBest DialogOptionSelected","""Don't think too long, dear mercenary,"" Sang says with a smirk. ""It's decisive action that keeps your kind alive.""",,
pfsoeMeetCaspian4decline,DialogOptionSelected,"$option == pfsoe_meetCaspianDecline","$option = pfsoe_meetCaspian5
FireBest DialogOptionSelected","""The offer stands until you miss all the fun, mercenary-captain,"" Sang says with a smirk.",,
pfsoeMeetCaspian5,DialogOptionSelected,"$option == pfsoe_meetCaspian5",,"""Come to Eventide. And bring that razor wit, for you'll need it.""

With an affected bow, Sang returns to his table. The other young officers whisper and continue to cast wayward looks in your direction.","pfsoe_meetCaspian6:Continue",
pfsoeMeetCaspian6,DialogOptionSelected,"$option == pfsoe_meetCaspian6","EndConversation DO_NOT_FIRE
RestoreSavedVisual
BeginMission pfsoe","Despite Sang's barely masked venom, you consider that this might be a good opportunity to meet some people of real influence in the Hegemony.","pfsoe_meetCaspianEnd:Return to the bar",
pfsoeMeetCaspianLeave,DialogOptionSelected,"$option == pfsoe_meetCaspianEnd","BarCMD showOptions",,,
"#END step1: meet Caspian Sang at a bar on Chicomoztoc",,,,,,
,,,,,,
# pfsoe step 2: Arrive at Eventide,,,,,,"# Assume the player always shows up 'just in time'"
pfsoeArriveEventide,MarketPostDock,"$market.pfsoe_invitedToBall
!$market.pfsoe_sawInvite","$market.soe_sawInvite = true","Your comms officer notifies you of an incoming message for you, personally. You confirm your identity and access the file. The crest of House Rao of Eventide fills your display, evoking martial tradition, long-held wealth, and prestige.

""You are cordially invited to the grand seasonal ball at the spring estate of House Rao...""","pfsoe_arriveAttendNow:Immediately take a shuttle to the Rao estate
pfsoe_arriveAttendLater:Take care of other business first
pfsoe_deleteInvite:Delete the invitation.",
pfsoeArriveToBusiness,DialogOptionSelected,"$option == pfsoe_arriveAttendLater","FireBest MarketPostDock",,,
pfsoeArriveBallAgain,PopulateOptions,"$market.pfsoe_invitedToBall
$market.pfsoe_sawInvite
$menuState == main",,"You have been invited to the grand seasonal ball to be held at the estate of House Rao. ","3:pfsoe_arriveAttendNow:Take a shuttle to the Rao estate
4:pfsoe_arriveAttendNever:Delete the invitation.",
pfsoeDeleteInviteNever,DialogOptionSelected,"$option == pfsoe_arriveAttendNever","$option = pfsoe_deleteInvite 0
FireBest DialogOptionSelected",,,
pfsoeDeleteInvite,DialogOptionSelected,"$option == pfsoe_deleteInvite","$global.pfsoe_completed = true
$global.soe_completed = true
Call $global.pfsoe_ref updateStage
ShowDefaultVisual
FireBest MarketPostOpen","With a quick tap you delete the invitation forever.

You, attending a ball with a bunch of fancy aristocrats? With that insufferable Caspian Sang? No good could come of it.",,
pfsoeArriveToBall,DialogOptionSelected,"$option == pfsoe_arriveAttendNow",,"As you don your best apparel as a shuttle is prepared, and you consider your primary goal, which is to...","pfsoe_toBallConnections:Make useful connections in the Hegemony officer corps
pfsoe_toBallGoodTime:It's a party! Just have a good time
pfsoe_toBallDisgraceSang:Find a way to disgrace Caspian Sang
pfsoe_toBallOpenMind:Keep an open mind and watch for opportunities
",
pfsoeToBallConnections,DialogOptionSelected,"$option == pfsoe_toBallConnections","$player.pfsoe_goalConnections = true 0
$option = pfsoe_houseRao1 0
FireBest DialogOptionSelected",,,
pfsoeToBallGoodTime,DialogOptionSelected,"$option == pfsoe_toBallGoodTime","$player.pfsoe_goalGoodTime = true 0
$option = pfsoe_houseRao1 0
FireBest DialogOptionSelected",,,
pfsoeToBallDisgraceSang,DialogOptionSelected,"$option == pfsoe_toBallDisgraceSang","$player.pfsoe_goalDisgraceSang = true 0
$option = pfsoe_houseRao1 0
FireBest DialogOptionSelected",,,
pfsoeToBallOpenMind,DialogOptionSelected,"$option == pfsoe_toBallOpenMind","$player.pfsoe_goalOpenMind = true 0
$option = pfsoe_houseRao1 0
FireBest DialogOptionSelected",,,
pfsoeHouseRao1,DialogOptionSelected,"$option == pfsoe_houseRao1","ShowImageVisual eventide","Your shuttle follows a course to the surface authorized by the datakey attached to your invitation to the grand spring ball of Eventide.

You watch as the sprawling spires and annexes of House Rao's spring manor rise on the horizon from a fertile, protected valley. The battlements of vast storm clouds stream beyond distant ridgelines by some quirk of geography which channels airflow around this eye of calm.","pfsoe_houseRao2:Continue",
pfsoeHouseRao2,DialogOptionSelected,"$option == pfsoe_houseRao2",,"Your shuttle descends through shafts of light reflected from orbital mirrors. You observe that on this occasion the Raos have arranged for artful placement of the mirrors to provide dramatic mirrorsets in several vistas viewable from the manor.

Upon landing you are intercepted and greeted by a human servitor in a crimson and silver house uniform. Your pilots and bodyguards, meanwhile, are directed toward a utilitarian waiting area stocked with ample refreshments.","pfsoe_houseRao3:Continue",
pfsoeHouseRao3,DialogOptionSelected,"$option == pfsoe_houseRao3",,"You are led to a bulbous lift with no visible control interface. As soon as the doors close, it begins a smooth ascent toward the spires of the manor while the servitor makes soothing inquiries about your trip. 

There is no perceptible change in subjective gravity as the lift accelerates upward; the agrav plates here are very finely tuned indeed.","pfsoe_houseRao4:Continue",
pfsoeHouseRao4,DialogOptionSelected,"$option == pfsoe_houseRao4",,"The servitor whisks you past soaring windows blazing with the light of mirrorset to a grand set of doors. They signal for you to wait for just a moment, following some opaque choreography of the event. Within a minute, it is your time. 

The grand doors swing open with the silent gravity of the celestial spheres, sweeping you into the ballroom of House Rao.","pfsoe_houseRao5:Enter the ballroom",
pfsoeHouseRao5,DialogOptionSelected,"$option == pfsoe_houseRao5","Call $global.pfsoe_ref addMusicPlayer","""$playerName,"" your name rings through the great hall. A brief pause, then ""Loyal friend of the Hegemony Navy.""

A few heads turn to take you in. There, a dismissive brow raise, there a too-quick flick of the eyes. The attendees seem little bothered to match your name to a face.

Resplendent brass of the Hegemony Navy dominate the crowd, though there are a smattering from the Legion as well as the various ministries spun off from the naval hierarchy. ","pfsoe_houseRao6:Continue",
pfsoeHouseRao6,DialogOptionSelected,"$option == pfsoe_houseRao6","FireAll pfsoeBallEntranceGoal","Less overt but as numerous are civilians in suit, dress, and robe that generally but not as a rule evoke the martial character of Hegemony rule. Despite the political climate, you even recognize the characteristic dress of several other major factions, religions, and independent megacorporations; diplomats, business execs, holo-actors, priests, and even a cluster bearing the garb of tenured Galatia Academy academicians.

Now you can get to doing what you came here for.",,
pfsoeHouseRaoGoalSchmooze,pfsoeBallEntranceGoal,"$player.pfsoe_goalConnections",,,"soa_houseRaoSchmooze:Introduce yourself to someone important",
pfsoeHouseRaoGoalParty,pfsoeBallEntranceGoal,"$player.pfsoe_goalGoodTime",,,"soa_houseRaoParty:Get the party started! Step 1- find a drink",
pfsoeHouseRaoGoalRevenge,pfsoeBallEntranceGoal,"$player.pfsoe_goalDisgraceSang",,,"soa_houseRaoRevenge:Scan the crowd for the insufferable Caspian Sang",
pfsoeHouseRaoGoalUnsure,pfsoeBallEntranceGoal,"$player.pfsoe_goalOpenMind",,,"pfsoe_houseRaoUnsure:Get a feel for the room before taking any action",
pfsoeHouseRaoSchmooze1,DialogOptionSelected,"$option == soa_houseRaoSchmooze",,"Your eyes roam over the crowd, looking for the push and pull of influence. You note the figures of vast power moving through the space, attracting satellites and disturbing orbits. There, a space marshall of the reserve fleet; there, the prime executor of Eventide's planetary government. There, the chief operations officer of a major military contractor.

""$PlayerSirOrMadam."" A human servitor interrupts your train of thought, offering a tray filled with delicate glasses of something effervescent.","pfsoe_takeDrink:Take a glass
pfsoe_noDrink:Wave them away",
pfsoeHouseRaoParty1,DialogOptionSelected,"$option == soa_houseRaoParty",,"You merely begin to look the slightest bit thirsty when a human servitor appears as if from an unlikely hyperspace jump.

""$PlayerSirOrMadam."" They offer a tray filled with delicate glasses of something effervescent.","pfsoe_takeDrink:Take a glass
pfsoe_noDrink:Wave them away",
pfsoeHouseRaoRevenge1,DialogOptionSelected,"$option == soa_houseRaoRevenge","$player.sawCaspian = true 0","Your eyes roam over the crowd, focusing on the younger groups of cadets when you hear from behind you that unmistakably insipid laugh. Like a combat targeting lock, your attention spins toward the source.

He's just left his pack of social remorae and is already on an approach vector. Noticing you notice him, he instantly deploys a grin of dubious conviviality.

""$PlayerSirOrMadam."" An oblivious human servitor appears beside you offering a tray filled with delicate glasses of something effervescent.","pfsoe_takeDrink:Take a glass
pfsoe_noDrink:Wave them away",
pfsoeHouseRaoUnsure1,DialogOptionSelected,"$option == pfsoe_houseRaoUnsure",,"Your eyes roam over the crowd, observing the push and pull of influence. Figures of vast power and influence move through the space, attracting satellites and disturbing orbits. There, a space marshall of the Hegemony navy; there, the prime executor of Eventide's planetary government.

""$PlayerSirOrMadam."" A human servitor appears beside you, offering a tray filled with delicate glasses of something effervescent.","pfsoe_takeDrink:Take a glass
pfsoe_noDrink:Wave them away",
pfsoeSangAppearsDrink,DialogOptionSelected,"$option == pfsoe_takeDrink
!$player.sawCaspian","$player.sawCaspian = true 0
$option = pfsoe_takeDrink 0
FireBest DialogOptionSelected","You hear a familiar and not entirely welcome voice pierce the murmur of conversation and soft music.",,
pfsoeSangAppearsNoDrink,DialogOptionSelected,"$option == pfsoe_noDrink
!$player.sawCaspian","$player.sawCaspian = true 0
$option = pfsoe_noDrink 0
FireBest DialogOptionSelected","You hear a familiar and not entirely welcome voice pierce through the murmur of conversation and soft music.",,
pfsoeTakeDrink,DialogOptionSelected,"$option == pfsoe_takeDrink
$player.sawCaspian","BeginConversation caspian
$player.tookDrink = true 0
FireAll pfsoesangRound1","""Why captain,"" Caspian Sang oozes up to you. His uniform is as newly pressed and his smile as insincere as at your last meeting. ""I see you've already finished your hunt,"" he indicates your untouched beverage, ""The bounty of our fine hosts' noblesse oblige so soon sullied by your hand, eh.""

You smell the spirits on his breath as he continues to speak. ""But I give you too little credit. You serve the Hegemony, do you not? Give a little show of it now and pass me the top-up, will you?""

Over Caspian's shoulder you see his gang of minions tittering.",,
pfsoeNoDrink,DialogOptionSelected,"$option == pfsoe_noDrink
$player.sawCaspian","BeginConversation caspian
FireAll pfsoesangRound1","""Why captain,"" Caspian Sang oozes up to you, nearly emptied glass in hand. ""I would expect a commissioned pirate - my apologies, privateer - to start by plundering our fine hosts' noblesse oblige."" 

He offers his drink to you, ""Please, take mine."" You can smell the spirits on his breath. ""Do your duty to the Hegemony and fetch me a top-up.""

Over Caspian's shoulder you see his gang of minions tittering.",,
pfsoeSangRound1reply1,pfsoesangRound1,,,,"pfsoe_sangRound2YesYouHave:""I didn't come here to spar with you, Sang.""",
pfsoeSangRound1reply2,pfsoesangRound1,"$player.pfsoe_goalConnections",,,"pfsoe_sangRound2someoneElse:""Pardon me, I was about the speak with someone else.""",
pfsoeSangRound1reply3,pfsoesangRound1,"$player.pfsoe_goalGoodTime",,,"pfsoe_sangRound2enjoyDrink:""Cool your flux ace, I'm just trying to enjoy a drink.""",
pfsoeSangRound1reply4,pfsoesangRound1,"$player.pfsoe_goalDisgraceSang",,,"pfsoe_sangRound2auxiliaries:""Do you always call on civilians to get anything done, lieutenant?""",
pfsoeSangRound1reply5,pfsoesangRound1,"$player.pfsoe_goalOpenMind",,,"pfsoe_sangRound2YesYouHave2:""Sang, have I offended you somehow?""",
pfsoeSangRound1reply6,pfsoesangRound1,"$player.tookDrink",,,"pfsoe_sangRound2throwDrink:Throw the drink in his face",
pfsoeSangRound1reply7,pfsoesangRound1,"$player.pfsoe_goalDisgraceSang",,,"pfsoe_sangRound2punchFace:Punch his stupid face",
pfsoeSangRound2yesYouHave,DialogOptionSelected,"$option == pfsoe_sangRound2YesYouHave","AdjustRepPerson caspian VENGEFUL -20","""Yes, captain, you have."" The cruel spark in Caspian's eye grows. ""By showing up. It was a test, you see, and you failed. You don't know your place. Not yet.""

He licks his lips. This is just the opening salvo.","pfsoe_introNeriene1:Continue",
pfsoeSangRound2yesYouHave2,DialogOptionSelected,"$option == pfsoe_sangRound2YesYouHave2","$option = pfsoe_sangRound2YesYouHave 0
FireBest DialogOptionSelected",,,
pfsoeSangRound2someoneElse,DialogOptionSelected,"$option == pfsoe_sangRound2someoneElse","AdjustRepPerson caspian VENGEFUL -20","""No, private-captain, you weren't."" The cruel spark in Caspian's eye grows. ""You don't truly belong here, you see. I was testing you, and you failed because you don't know your place. Not yet.""

He licks his lips. This is just the opening salvo.","pfsoe_introNeriene1:Continue",
pfsoeSangRound2enjoyDrink,DialogOptionSelected,"$option == pfsoe_sangRound2enjoyDrink","AdjustRepPerson caspian VENGEFUL -20","""No, private-captain, you weren't."" The cruel spark in Caspian's eye grows. ""Try as you might, you'll never be one of us. You don't belong here. I was testing you, and you failed because you don't know your place. Not yet.""

He licks his lips. This is just the opening salvo.","pfsoe_introNeriene1:Continue",
pfsoeSangRound2auxiliaries,DialogOptionSelected,"$option == pfsoe_sangRound2auxiliaries","AdjustRepPerson caspian VENGEFUL -20","A mirthless smile grows on his face, and he turns to nod in acknowledgement to his minions, who cheer the exchange.

""You finally admit you're not one of us."" The cruel spark in Caspian's eye grows. ""And try as you might, you'll never be one of us. You don't belong here, you see. I was testing you, and you failed by showing your face.""

He licks his lips. This is just the opening salvo.","pfsoe_introNeriene1:Continue",
pfsoeSangRound2throwDrink,DialogOptionSelected,"$option == pfsoe_sangRound2throwDrink","AdjustRepPerson caspian VENGEFUL -30
AdjustRep hegemony SUSPICIOUS -5
$player.threwDrink = true 0","Caspian is caught completely off guard. He sputters, wiping his face.

A small circle of the crowd around you has gone silent. Now they're looking at you.

""That was a big mistake, $playerName,"" he says, his voice gone cold.","pfsoe_introNeriene1:Continue",
pfsoeSangRound2punchFace,DialogOptionSelected,"$option == pfsoe_sangRound2punchFace","AdjustRepPerson caspian VENGEFUL -60
AdjustRep hegemony SUSPICIOUS -15
$player.threwPunch = true 0","Caspian is caught completely off guard as you land a solid blow. He trips on his uniform's scabbard and topples to the ground.

A widening circle of the crowd has gone silent; now they are all looking at you.

He looks up at you looking like a cornered animal, giddy in fear and delight. ""You just made such a mistake, $playerName,"" he says quietly, wiping blood from his nose.","pfsoe_introNeriene1:Continue",
pfsoeIntroNeriene1drink,DialogOptionSelected,"$option == pfsoe_introNeriene1
$player.threwDrink","ShowSecondPerson neriene_rao","A woman in the uniform of a Hegemony commander appears, already looking at Sang with suspicion.
 
""Lieutenant Sang, was it?"" Without shifting her focus she tosses a cocktail napkin at him. ""I see you've been welcoming a new arrival to my family's celebration.""

As Sang fails to catch the napkin you can almost see his bully's instincts grappling with the new social dynamic in play.

She nods politely to you. ""Commander Neriene Rao. And if I recall correctly, you are Captain $playerName?""","pfsoe_introNeriene2a:""I am. It's a pleasure to meet you.""
pfsoe_introNeriene2b:""I am.""
pfsoe_introNeriene2:""I am. Caspian was just leaving.""",
pfsoeIntroNeriene1punch,DialogOptionSelected,"$option == pfsoe_introNeriene1
$player.threwPunch","ShowSecondPerson neriene_rao
$player.metNeriene = true","A woman in the uniform of a Hegemony commander appears, taking the center of attention, and speaks with a voice lifted to the crowd of onlookers.

""Lieutenant Sang, was it? I see you've been welcoming a new arrival to my family's celebration with your usual charm.""

A polite wave of laughter from the onlookers breaks the tension. They start to turn back to their conversations. You can see Caspian's face turning red as his bully's instincts grapple with the new social dynamic.

She nods politely to you. ""Commander Neriene Rao. If I recall correctly, you are... captain $playerName?""","pfsoe_introNeriene2a:""I am. It's a pleasure to meet you.""
pfsoe_introNeriene2b:""I am.""
pfsoe_introNeriene2:""I am. Caspian was just leaving.""",
pfsoeIntroNeriene1,DialogOptionSelected,"$option == pfsoe_introNeriene1","ShowSecondPerson neriene_rao
$player.metNeriene = true","A woman in the uniform of a Hegemony commander appears, already looking at Sang with suspicion.
 
""Lieutenant Sang, was it?"" she says, projecting her voice. ""I see you've been welcoming a new arrival to my family's celebration.""

You can almost see his bully's instincts grappling with the new social dynamic in play.

She nods politely to you. ""Commander Neriene Rao. If I recall correctly, you are... captain $playerName?""","pfsoe_introNeriene2a:""I am. It's a pleasure to meet you.""
pfsoe_introNeriene2b:""I am.""
pfsoe_introNeriene2:""I am. Caspian was just leaving.""",
pfsoeIntroNeriene2a,DialogOptionSelected,"$option == pfsoe_introNeriene2a","$option = pfsoe_introNeriene2 0
FireBest DialogOptionSelected",,,
pfsoeIntroNeriene2b,DialogOptionSelected,"$option == pfsoe_introNeriene2b","$option = pfsoe_introNeriene2 0
FireBest DialogOptionSelected",,,
pfsoeIntroNeriene2,DialogOptionSelected,"$option == pfsoe_introNeriene2
!$threwPunch","EndConversation DO_NOT_FIRE
BeginConversation neriene_rao","Neriene faces you, cutting Caspian out of the conversation.

You watch in your peripheral vision as he realizes what's been done. He scuttles back toward his minions. The joking is over. They look at you now with sneering hostility.","pfsoe_introNeriene3:Continue","#HideSecondPerson ?"
pfsoeIntroNeriene3,DialogOptionSelected,"$option == pfsoe_introNeriene3","AdjustRepPerson neriene_rao FRIENDLY 1","""That boy,"" she says, ""is a weak-willed fool who believes that he must tear down others to build up himself."" 

She looks you over, ""And it would seem that he chose a poor target this time around. And even had he not, I expect someone would have to shoot down his little game before he made much more of a scene.""

She sighs, ""There's the family name to think of, after all.""","pfsoe_askEstate:""House Rao. As in, the owners of this estate.""
pfsoe_askOrcus:""House Rao. As in, Admiral Orcus Rao, the Hero of Raesvelg.""
pfsoe_notExcited:""You don't seem too excited about this ball.""",
pfsoeIntroNeriene3drink,DialogOptionSelected,"$option == pfsoe_introNeriene3
$player.threwDrink","AdjustRepPerson neriene_rao FRIENDLY 2","""Caspian Sang is a fool and he deserved that,"" she says with a hint of smile. ""There are times I wish I'd done the same. But,"" Neriene looks around, ""There's the family name to think of.""","pfsoe_askEstate:""House Rao. As in, the owners of this estate.""
pfsoe_askOrcus:""House Rao. As in, Admiral Orcus Rao, the Hero of Raesvelg.""
pfsoe_notExcited:""You don't seem too excited about this ball.""",
pfsoeIntroNeriene3punch,DialogOptionSelected,"$option == pfsoe_introNeriene3
$player.threwPunch",,"""Caspian Sang is a fool and he deserved that,"" she says with a frown, ""But striking an officer won't endear you to the others. It's also technically illegal, but if you follow my lead nothing should come of it. Sang is not the sort to endure well the shame of filing such a report.""

""Besides,"" she says, looking around, ""It might offend the family.""","pfsoe_askWhyCover:""Why are you covering for me?""
pfsoe_askEstate:""House Rao. As in, the owners of this estate.""
pfsoe_askOrcus:""House Rao. As in, Admiral Orcus Rao, the Hero of Raesvelg.""
pfsoe_notExcited:""You don't seem too excited about this ball.""",
pfsoeNerieneAskWhyCover,DialogOptionSelected,"$option == pfsoe_askWhyCover",,"She catches your eyes for a moment, then looks back toward the crowd. ""Because... I thought it might be interesting.""

""Anyway, the family has a reputation for a rebellious streak and I'd be remiss not to uphold it.""","pfsoe_askEstate:""House Rao. As in, the owners of this estate.""
pfsoe_askOrcus:""House Rao. As in, Admiral Orcus Rao, the Hero of Raesvelg.""
pfsoe_notExcited:""You don't seem too excited about this ball.""",
pfsoeNerieneAskEstate,DialogOptionSelected,"$option == pfsoe_askEstate",,"""Yes. Yes, we are. Absurd, isn't it?"" She looks a little sheepish, ""I mean, it's home. But this, this palace? In the face of everything going on out there?""

She looks up, past the mirrorset illuminating the grand windows of the ballroom. ""We're supposed to be rebuilding the Domain, aren't we?""

""Maybe we are,"" she adds darkly.","pfsoe_danceStarting1a:""What do you mean by that?""
pfsoe_danceStarting1b:""Does Admiral Orcus Rao agree with you?""",
pfsoeNerieneAskOrcus,DialogOptionSelected,"$option == pfsoe_askOrcus",,"""Oh yes, Granduncle Orcus."" She smiles, revisiting some old memory.

""No one can believe he got away with everything he's gotten away with. But if, like him, you've got the dumb luck to walk out of disaster alive again and again - and better yet, you deliver victory in the darkest days of war - they'll let you get away with anything.""

She considers a moment, then adds, ""Almost anything. It's gone to his head a bit though, I think.""","pfsoe_danceStarting1a:""What do you mean by that?""
pfsoe_danceStarting1b:""Is your, uh, Granduncle Orcus here?""",
pfsoeNerieneNotExcited,DialogOptionSelected,"$option == pfsoe_notExcited",,"""Look at them,"" she says. ""All these fancy people puffing each other up, all smiles and high ideals in public. Once they're behind closed doors, it'll be plotting and backstabbing and spreading rumors.""

""I could never stand how two-faced it all is. Grandmother says to take it personally is childish, that it's just how politics is done."" She twitches as if to cast off a bit of dirt.","pfsoe_danceStarting1a:""Then why are you here?""
pfsoe_danceStarting1b:""Does the Admiral Orcus Rao agree with you?""",
pfsoeDanceStarting1a,DialogOptionSelected,"$option == pfsoe_danceStarting1a","$option = pfsoe_danceStarting1b 0
FireBest DialogOptionSelected",,,
pfsoeDanceStarting1b,DialogOptionSelected,"$option == pfsoe_danceStarting1b",,"As Neriene begins to reply, you find the crowds in the ballroom withdrawing toward the walls of the room. During your exchange with Sang, you must have missed some announcement because you find the live band at the end of the great hall is beginning to play a waltz.

Dancers partner up from the edge of the floor. You catch a glimpse of Sang and his flunkies keeping an eye on you, still held off by the force of Neriene's pressence.

You look at her for some kind of cue. She looks at you expectantly.","pfsoe_danceStarting2a:""Shall we?""
pfsoe_danceStarting2b:Say nothing
pfsoe_noDancing:""I don't dance.""
pfsoe_startDanceDrink:""Um. Where can a space captain get a fresh drink around here?""
pfsoe_startDanceJump:Try very hard to initiate a Transverse Jump",
